name,address,type,number,scheme,id,postal
$5 FRIED RICE,"371 BEACH ROAD stall (MR1) #B1-15 CITY GATE, FOOD HQ KOPITIAM & BAR 199597",Hawker,EEHK25100000137,Eating Establishment,fd4774fc-2a74-49bf-94d1-acb34f56740a,199597
$5 JAPANESE & KOREAN CUISINE,"371 BEACH ROAD Stall (S1) #B1-15 CITY GATE, FOOD HQ KOPITIAM & BAR 199597",Hawker,EEHK25100000136,Eating Establishment,96829bc1-103a-4edb-8141-c571383add6d,199597
$5 WESTERN,"354 CLEMENTI AVENUE 2 MR 2, Chang Cheng Mee Wah. Wufu #01-157 CLEMENTI AVENUE 2 SHOPPING CENTRE 120354",Hawker,EEHK25120000014,Eating Establishment,b7c95d92-83ed-4ce7-b6df-18670f81e3f1,120354
$5 WESTERN (MR1) @BGAIN Eating House 121 Hougang,"121 HOUGANG AVENUE 1 #01-1358 BGAIN 121 Eating House, MR1 530121",Hawker,EEHK20250000456,Eating Establishment,65462afa-1e37-4c60-9b0d-f1ebe5210314,530121
$5 WESTERN (S6) @ WU FU KALLANG HEIGHTS,"5 UPPER BOON KENG ROAD #01-01 KALLANG HEIGHTS, Stall 6 380005",Hawker,EEHK20230001159,Eating Establishment,3c924f32-ed41-4d96-a7b2-97eef82aa379,380005
$5 Western(S5)@ HZB Canteen Wave 9,"71 WOODLANDS INDUSTRIAL PARK E9 #01-04 WAVE9, STALL 5 757048",Hawker,EEHK20240000455,Eating Establishment,9f31d416-1325-4d57-978d-a92566c4dc67,757048
+ROBERT CATERING SERVICES PTE. LTD.,5 KAKI BUKIT ROAD 2 #04-08 CITY WAREHOUSE 417839,Catering Company,FPGN21030001505,Food Preparation Area,1f7a6251-e2af-4cc8-8f48-e1e500818fe6,417839
1 Pasir Ris Close #02-K3/K4 E!Hub@Downtown East S(519599),10 EUNOS ROAD 8 #B1-164 SINGAPORE POST CENTRE 408600,Snack Bar / Bakery,EESB20250000742,Eating Establishment,b865b2c7-fef4-4a90-823a-e1fd0f138e96,408600
13 Kitchen,"9012 TAMPINES STREET 93 #01-157 TAMPINES INDUSTRIAL PARK A RONG CHENG F&B, MR9 528845",Hawker,EEHK20250000788,Eating Establishment,5f1d492e-e8db-41dc-9b38-389464062311,528845
13 Miles,749/751 NORTH BRIDGE ROAD #01 NIL 198717,Restaurant,EERT20250000318,Eating Establishment,292c3360-3744-45a1-80e7-6a75a4cda694,198717
13 MILES,596B SEMBAWANG ROAD #01-00 SEMBAWANG SPRINGS ESTATE 758455,Restaurant,EERN22010013435,Eating Establishment,f1275350-ad3c-413b-8c24-a1ef2b58304f,758455
156 Japanese Korean (S5)@Coffee & Tea Yishun,"156 YISHUN STREET 11 #01-122, Stall 5 760156",Hawker,EEHK20230000210,Eating Establishment,fba4b0bc-4284-4e10-9625-8d46adbc5baa,760156
18C,1 VISTA EXCHANGE GREEN #02-12/13/14/15 THE STAR VISTA 138617,Restaurant,EERT20250000495,Eating Establishment,b5863466-c1d5-4d52-ac58-34adbab3195b,138617
18C,3155 COMMONWEALTH AVENUE WEST #05-16/17 THE CLEMENTI MALL 129588,Restaurant,EERT20250000496,Eating Establishment,6b9646c5-4bda-4fcd-ba54-48da3d5451f3,129588
18C,1 PASIR RIS CLOSE #02-330/331 E!HUB@DOWNTOWN EAST 519599,Restaurant,EERT20250000497,Eating Establishment,6b9646c5-4bda-4fcd-ba54-48da3d5451f3,519599
18C,200 VICTORIA STREET #04-06 BUGIS JUNCTION 188021,Restaurant,EERT20250000498,Eating Establishment,6b9646c5-4bda-4fcd-ba54-48da3d5451f3,188021
1983 A Taste of Nanyang,70 STAMFORD ROAD #01-21 SINGAPORE MANAGEMENT UNIVERSITY 178901,Restaurant,EERT20220001021,Eating Establishment,043c6bc6-ebcb-40cb-b77f-9a7c4adf913f,178901
1983 Coffee & Toast,2 SIMEI STREET 3 #01-09/10 CHANGI GENERAL HOSPITAL 529889,Restaurant,EERX21050012347,Eating Establishment,5496961c-c4f4-4be4-a09f-1635954d58f6,529889
1A CRISPY PUFFS,3015 BEDOK NORTH STREET 5 #02-09 SHIMEI EAST KITCHEN 486350,Central Kitchen,FPCN22020001663,Food Preparation Area,1f05c413-3119-4ee7-b3b3-dfc4aebf420e,486350
